date,views_14d,unique_visitors_14d,clones_14d,unique_cloners_14d,stars,forks
2026-09-02,20,1,20,10,0,0
2026-09-03,20,1,20,10,0,0
2026-09-03,20,1,20,10,0,0
2026-09-07,88,4,73,34,0,0
2026-09-14,187,18,97,48,1,1
2026-09-21,259,43,42,26,6,1
